Port_Region,Major_Choke_Point,Geopolitical_Risk_Score,Avg_Weather_Delay_Days,Alternative_Route_Penalty_Cost
Western Europe,English Channel,2,0.5,5000
Eastern Europe,Bosporus Strait,4,0.7,8000
Southern Europe,Strait of Gibraltar,3,0.6,6000
Northern Europe,Baltic Sea Chokepoint,2,0.4,4000
Eastern Asia,Strait of Malacca,7,1.2,25000
West Asia,Suez Canal,9,0.8,65000
Central Asia,Caspian Corridor,6,1.5,15000
South Asia,Indian Ocean Gateway,5,1,12000
Southeast Asia,South China Sea,8,1.4,20000
Central America,Panama Canal,5,2.5,45000
South America,Cape Horn,4,3.2,18000
North America,Pacific Coast,3,1.1,12000
Canada,Arctic Passage,3,2,10000
West of USA ,Pacific North West,2,0.5,5000
US Center ,Mississippi River,1,0.2,2000
South of  USA ,Gulf of Mexico,4,1.5,9000
East of USA,Atlantic Seaboard,2,0.6,4000
Caribbean,Windward Passage,5,1.8,11000
West Africa,Gulf of Guinea,8,2.2,22000
Central Africa,Congo Basin,7,2.5,15000
North Africa,Suez Mediterranean,6,1,12000
East Africa,Horn of Africa,9,2.8,30000
Southern Africa,Cape of Good Hope,5,1.5,14000
Oceania,Torres Strait,3,0.9,7000
